SubscriberKey,FirstName,LastName,Email,Email_Consent,LastOpenedDate,LastClickedDate,Status,MailingAddress
2001,Casey,Patel,casey.patel@example.com,False,2024-05-22,2025-03-13,Inactive,"618 Russo Lock Apt. 683, Smithtown, MO 28775"
2002,Drew,Martinez,drew.martinez@hotmail.com,True,2025-05-29,,Active,"719 Reyes Rest, Port Holly, GA 57797"
2003,Casey,Lee,casey.lee@example.com,False,2024-11-27,2024-02-23,Inactive,"4565 Grimes Wall, East Ashley, DC 29787"
2004,Morgan,Singh,morgan.singh@gmail.com,False,2023-11-10,2023-12-05,Active,"239 Anita Shores Apt. 678, New Nicholemouth, MA 87522"
2005,Casey,Singh,casey.singh@example.com,True,2024-08-18,2025-04-15,Inactive,"519 Jill Brook Apt. 554, West Jacob, HI 94785"
2006,Quinn,Patel,quinn.patel@gmail.com,False,,2024-01-17,Active,"61105 Mark Glens, South Rodneybury, NE 78249"
2007,Drew,O'Connor,drew.o'connor@fake.com,True,2025-02-10,,Active,"752 Mark Shores, Bergmouth, IN 29904"
2008,Taylor,Brown,taylor.brown@yahoo.com,False,2024-02-19,2024-09-16,Inactive,"96628 Lee Branch Suite 123, Eduardoton, WI 72396"
2009,Jamie,Patel,jamie.patel@yahoo.com,True,2023-08-31,2024-02-19,Inactive,"0790 Joanna Underpass, Hollyborough, RI 99018"
2010,Jamie,Lee,jamie.lee@test.com,False,2023-12-24,,Active,"7164 Singleton Burgs, Markchester, NV 13669"
2011,Morgan,Chen,morgan.chen@example.com,False,2024-12-12,,Inactive,"90210 Tran Trail, East Francis, WI 68291"
2012,Jamie,Wilson,jamie.wilson@yahoo.com,False,2023-10-21,2023-10-18,Active,"714 Erin Meadow Suite 892, Bentonshire, RI 96116"
2013,Alex,Patel,alex.patel@example.com,True,2024-12-07,,Inactive,"0820 Cynthia Drives, South Brandi, NV 88410"
2014,Cameron,Patel,cameron.patel@hotmail.com,True,2024-01-03,,Active,"4995 Taylor Forge Suite 425, New Maria, DC 93817"
2015,Quinn,Patel,quinn.patel@test.com,False,2024-07-02,2023-08-16,Active,"551 Cody Plaza, New Christine, MT 02095"
2016,Alex,Nguyen,alex.nguyen@example.com,False,,2024-07-10,Inactive,"33299 Jason Alley, East Aaron, PA 14118"
2017,Casey,Nguyen,casey.nguyen@gmail.com,False,2024-01-19,,Active,"7099 Heather Fields Apt. 897, North Rachelview, NM 92789"
2018,Taylor,Brown,taylor.brown@hotmail.com,True,,2023-07-22,Active,"9656 Graham Harbor, North Nancyshire, ID 16451"
2019,Riley,Garcia,riley.garcia@fake.com,False,2024-07-25,2023-11-04,Inactive,"631 Pena Courts, North Sean, NJ 98285"
2020,Morgan,Martinez,morgan.martinez@hotmail.com,True,2023-11-30,2023-10-09,Inactive,"9420 Singleton Brook, East Andrew, IA 80752"
2021,Quinn,Garcia,quinn.garcia@test.com,True,2024-10-10,2025-01-18,Inactive,"43655 Toni Extensions, South Ryan, WY 63447"
